ID_Country,Country,Employee_Pay_ST,Track,Level_Cat,Level,Effective_Start_DT,Effective_Ending_DT,Termination_Reason,Birth_DT,Edad,Marital_CD,Marital_ST,Gender,SBR_AMT,SCR_AMT,Region,Office,Area,Division,Department_CD,Department,Billiability,Technology,Business_Unit,Std_Hrs_Week,Prime_Skills_CD,Prime_Skills,2020,2019,Months_Worked,Level_Cat,Proportional_Days,Days_Taken,Vacation_Ratio,Number_Unique_Projects,Number_Unique_Project_Type,Abscence_Projects,Administrative_Functions,Awaiting_Projects,Billable_Projects,Corporate_Funded_Projects,Cost_Centers,Indirect_Cost_Centers,Internal_Investment_Projects,Internal_Programs,Proposals,Proposals_General,Training_Programs,Increase_2018_2019,Increase_2019_2020,Bonus_2018,Bonus_2019,Course_Viewed,Logs_Course_Viewed,Logs_Global_Campus,Media_hora_curso,Estado,Total_number_received_Feedback,Performance_feedback_AVG,Performance_Level_CD,Performance_Level,Potential_Level_CD,Potential_Level,Track_Code,TotalNumberOfficeEmployees
2,MX,Active,BUSMGT,6,Manager / Master,11/11/1996,1/29/2021,Still Active,27/08/1970,50,2,M,0,143.3,40.9,15,33,9,0,6,Other,100,1,1,42.5,23,VERTICAL MANAGER,1,0,290,6,120.395604,10,8.305951104,50,9,213.35,1039.7,0,2597.85,0.3,82.45,0,0.4,0,25.25,78.2,60.5,100,20,164.15,148.8,1,1,9,2,Activo,11,91.45,2,Medium,1,RISING TALENT,1,1441
2,MX,Active,SYINCO,5,Sr. Consultant,2/24/1997,1/29/2021,Still Active,18/08/1970,50,2,M,0,108.1,30.9,14,33,7,39,17,T25,100,1,55,42.5,20,SAP,1,0,287,5,575.342,61,10.60238954,50,7,261.3,88.05,22.3,3758.625,0,124.95,0,0,0,64.8,0,10.25,0,20,0,0,3,5,37,6,Activo,1,72,2,Medium,0,No Employee info,8,1441
2,MX,Active,CONSUL,3,Experienced Consultant,11/19/2010,1/29/2021,Still Active,02/08/1968,52,1,S,1,81.6,23.3,15,33,7,0,6,Other,100,1,1,42.5,16,PMO,1,0,122,3,17.9507,0,0,16,4,88.95,0,0,2290.95,0,1.7,0,0,0,0,0,2.55,0,20,0,0,0,2,2,0,Activo,0,91.78924766,3,No Employee info,0,No Employee info,2,1441
2,MX,Active,DEVELO,4,Project / Technical Lead,06/02/1997,1/29/2021,Still Active,14/01/1972,48,2,M,0,116.4,33.2,15,33,7,36,11,S64,100,1,54,42.5,13,Other,1,0,283,4,35.0769,6,17.10527441,50,9,153,28.475,97.025,3844.95,0,63.75,0,21.7,0,3.1,0.85,11.15,0,20,0,0,2,7,50,4,Activo,2,94,2,Medium,0,No Employee info,3,1441
2,MX,Active,SYINCO,5,Sr. Consultant,07/01/1997,1/29/2021,Still Active,02/09/1975,45,1,S,0,97.4,27.8,15,33,7,33,9,S51,100,1,53,42.5,20,SAP,1,0,282,5,33.16484,12,36.18289731,50,10,257.1,100.7,207.475,3305.275,29.23,140.75,0,2.2,0,106.99,4.2,129.05,0,20,0,0,1,3,15,2,Activo,7,97.29,2,Medium,0,No Employee info,8,1441
2,MX,Active,SERMGT,5,Sr. Consultant,08/01/1997,1/29/2021,Still Active,13/02/1969,51,2,M,0,95.6,27.3,14,33,7,922,7,S04,100,1,56,42.5,13,Other,1,0,281,5,31.12088,5,16.06638373,50,8,178.5,699.3,40,3113.56,0,56.25,0,0,0,28.9,0.5,51.35,0,20,0,0,1,1,25,2,Activo,0,91.78924766,2,Medium,0,No Employee info,6,1441
2,MX,Active,SYINCO,5,Sr. Consultant,07/05/2005,1/29/2021,Still Active,28/09/1973,47,2,M,0,105.9,30.2,15,33,7,0,6,Other,100,1,1,42.5,13,Other,1,0,186,5,228.9011,42,18.34853568,50,8,185.3,33.625,9.35,3399.525,0,36.85,0,0,0,23,1.975,11.525,0,20,0,0,1,1,17,2,Activo,0,91.78924766,2,Medium,0,No Employee info,8,1441
2,MX,Active,PROJCT,5,Sr. Consultant,07/06/1998,1/29/2021,Still Active,23/10/1970,50,1,S,0,99.6,28.4,15,33,7,0,6,Other,100,3,1,42.5,13,Other,1,0,270,5,74.5055,27,36.23893538,50,10,229.5,314.85,90.35,3290.625,0.15,124.1,0,5.1,0,54.9,8.3,38.7,0,20,0,0,2,12,102,4,Activo,0,91.78924766,2,Medium,1,RISING TALENT,5,1441
2,MX,Active,BUSMGT,6,Associate Director,2/16/2009,1/29/2021,Still Active,05/08/1975,45,2,M,0,281.2,80.3,14,33,7,0,6,Other,100,2,55,42.5,9,LINES OF SERVICES MANAGER,1,0,143,6,150.411,26,17.28596978,50,10,181.15,437.45,18.05,2525.5,1.05,103.9,0,0,7.25,217.45,279.25,102.45,60.1,20,60.1,77.1,3,6,53,6,Activo,14,97.43,1,Low,0,No Employee info,1,1441
2,MX,Active,SYINCO,5,Sr. Consultant,03/01/1999,1/29/2021,Still Active,21/11/1970,49,1,S,0,131.9,37.7,14,33,7,39,17,T25,100,1,55,42.5,20,SAP,1,0,262,5,164.8352,31,18.80666265,50,9,274.55,10.9,50.55,3652.4,0,113.55,0,9.85,2.6,69.2,0,66.55,0,20,0,0,1,1,4,2,Activo,1,100,2,Medium,1,RISING TALENT,8,1441
2,MX,Active,BUSMGT,6,Manager / Master,08/02/1999,1/29/2021,Still Active,03/03/1969,51,2,M,0,143.3,40.9,15,33,9,0,6,Other,100,1,1,42.5,23,VERTICAL MANAGER,1,0,257,6,31.05495,5,16.10049284,50,9,161.5,49.88,17.35,3733.2,2.95,99.45,0,0,0,1.7,0,83.4,100,20,100,88.4,1,1,11,2,Activo,0,91.78924766,2,Medium,0,No Employee info,1,1441
2,MX,Active,ARCHTC,6,Manager / Master,1/25/2000,1/29/2021,Still Active,12/05/1969,51,2,M,0,198.7,56.7,14,33,7,31,21,ZZ3,100,1,60,42.5,6,IT,1,0,252,6,106.5863,30,28.14620641,50,11,326.8,145.215,98.15,3166.965,0.7,117,0,20.55,0.9,214.95,117.3,132.85,43.3,20,43.3,100,3,15,122,6,Activo,1,100,2,Medium,1,RISING TALENT,0,1441
2,MX,Active,SYINCO,5,Sr. Consultant,04/03/2000,1/29/2021,Still Active,26/11/1961,58,2,M,0,122.5,35,15,33,7,0,6,Other,100,1,1,42.5,13,Other,1,0,249,5,39.033,0,0,50,8,161.75,6.85,0,3944.725,0,94.15,0,1.3,1.8,5.45,0,18.65,0,20,0,0,1,7,47,2,Activo,1,89,0,High,2,TOP TALENT,8,1441
2,MX,Active,MNGSER,6,Manager / Master,03/02/2000,1/29/2021,Still Active,06/12/1975,44,2,M,0,133.3,38.1,14,33,7,35,7,S04,100,1,56,42.5,13,Other,1,0,250,6,250.2857,31,12.38584546,50,10,239.675,174.77,1.875,3709.485,22.6,110.6,0,1.85,0,69.84,22.15,20.9,60.1,20,60.1,95.1,3,6,50,6,Activo,6,99.17,2,Medium,0,No Employee info,4,1441
2,MX,Active,SERMGT,6,Manager / Master,05/02/2000,1/29/2021,Still Active,13/06/1977,43,2,M,1,133.9,38.2,14,33,24,35,7,S04,0,2,56,42.5,13,Other,1,0,248,6,172.4835,35,20.29179603,50,7,247.35,162.35,0,3454.55,0,250.7,0,0,0,0.15,27.2,20.1,0,20,0,96.4,9,29,144,18,Activo,3,92.67,2,Medium,0,No Employee info,6,1441
2,MX,Active,DEVELO,6,Manager / Master,4/24/2000,1/29/2021,Still Active,14/07/1977,43,2,M,1,134.4,38.3,14,33,7,36,11,S64,100,2,54,42.5,13,Other,1,0,249,6,291.2967,62,21.28414088,50,11,388.45,1190.21,91.25,567.665,554.605,187.1,0,464.24,567.25,6.2,47.95,72.6,90,20,90,100,14,18.35995877,117.4011853,28,Activo,19,96.47,2,Medium,1,RISING TALENT,3,1441
2,MX,Active,MNGSER,6,Manager / Master,6/19/2000,1/29/2021,Still Active,16/11/1970,50,2,M,0,157.5,45,14,33,7,35,7,S04,100,2,56,42.5,6,IT,1,0,247,6,153.95604,10,6.495360624,50,10,215.05,529.31,46.375,2875.425,467.95,113.05,0,0,0,47.63,11.9,42.2,60.1,20,60.1,95.1,8,40,234,16,Activo,19,90.16,2,Medium,0,No Employee info,4,1441
2,MX,Active,BUSMGT,6,Sr. Manager / SME,07/10/2000,1/29/2021,Still Active,07/10/1967,53,2,M,0,197.2,56.3,15,33,7,0,6,Other,100,3,55,42.5,23,VERTICAL MANAGER,1,0,246,6,193.7143,25,12.90560377,50,9,230.9,419.7,53.3,3144.025,0,101.5,0,0,32,57.775,9.35,90.45,100,20,100,124.4,13,36,250,26,Activo,0,91.78924766,2,Medium,0,No Employee info,1,1441
2,MX,Active,DEVELO,5,Sr. Consultant,11/15/2018,1/29/2021,Still Active,06/02/1973,47,2,M,0,115.3,32.9,15,33,7,36,11,S64,100,1,54,42.5,13,Other,1,0,26,5,24.0549451,9,37.41434438,9,5,24.65,0,5.1,683.5,0,4.65,0,0,0,0,4.25,0,0,20,0,0,1,1,15,2,Activo,1,100,2,Medium,1,RISING TALENT,3,1441
2,MX,Active,DEVELO,6,Manager / Master,9/19/2018,1/29/2021,Still Active,09/08/1976,44,2,M,0,154.7,44.2,14,33,7,37,15,S76,100,1,54,42.5,13,Other,1,0,28,6,11.24176,7,62.26782995,32,10,84.3,30.65,19.85,1427.35,63.2,30.1,0,0.25,169,0,15.5,12.6,17.03,20,17.03,100,1,4,64,2,Activo,12,99.83,2,Medium,0,No Employee info,3,1441
2,MX,Active,ARCHTC,6,Sr. Manager / SME,09/04/2000,1/29/2021,Still Active,22/12/1972,47,2,M,0,271.8,77.6,15,33,7,31,21,ZZ3,100,3,60,42.5,6,IT,1,0,244,6,297.75824,27,9.067759132,50,9,347.01,7.625,325.327,2998.35,76.063,95.85,0,0,0,209.3,29.395,146.84,100,20,100,100,1,4,39,2,Activo,2,100,2,Medium,0,No Employee info,0,1441
2,MX,Active,DEVELO,3,Experienced Consultant,08/01/2000,1/29/2021,Still Active,16/06/1977,43,2,M,1,68.49,19.52,14,33,7,36,11,S64,100,1,54,42.5,4,FUNCTIONAL ANALYST,1,0,245,3,103.12088,29,28.12233565,50,10,377.75,71.625,254.15,3095.22,226.55,131.55,0,6.8,0,44.23,0.6,53.775,0,20,0,0,0,0,6,0,Activo,0,91.78924766,0,High,0,No Employee info,3,1441
2,MX,Active,DEVELO,6,Manager / Master,2/20/2013,1/29/2021,Still Active,10/06/1974,46,1,S,0,134.4,38.3,14,33,7,36,11,S64,100,2,54,42.5,0,.NET DEVELOPER,1,0,95,6,67.6384,28,41.39660311,50,11,156,197.525,178.15,1928.53,536.8,123.8,0,35.7,53.825,101.57,24.2,58.7,0,20,0,100,3,3,54,6,Activo,4,92,0,High,2,TOP TALENT,3,1441
2,MX,Active,SERMGT,6,Manager / Master,11/06/2006,1/29/2021,Still Active,15/03/1971,49,2,M,0,133.9,38.2,15,33,7,0,6,Other,100,3,1,42.5,18,PROJECT MANAGER,1,0,170,6,44.664835,9,20.15008003,50,9,227.35,149.55,33.375,2806.725,0,26.95,0,38.7,0,4.55,4.45,71.55,100,20,159.8,108.4,10,18.35995877,286,20,Activo,14,88,0,High,2,TOP TALENT,6,1441
2,MX,Active,SYINCO,5,Sr. Consultant,10/12/1998,1/29/2021,Still Active,31/07/1967,53,2,M,0,99.3,28.4,14,33,7,0,6,Other,100,1,55,42.5,20,SAP,1,0,267,5,871.12088,73,8.380008065,50,11,272.85,270.25,28.25,3067.865,376.3,112.4,0,11,5.2,114.3,38,66.9,0,20,0,0,28,18.35995877,117.4011853,7.950528214,Activo,5,98.6,2,Medium,0,No Employee info,8,1441
2,MX,Active,DEVELO,6,Manager / Master,11/01/2000,1/29/2021,Still Active,11/12/1969,50,2,M,0,134.4,38.3,14,33,7,40,18,T45,100,1,55,42.5,20,SAP,1,0,242,6,73.05495,18,24.6389875,50,8,298.35,28.35,76.4,3645.42,0,112.45,0,0,0,17.3,2.25,30,88.1,20,88.1,91.6,1,1,10,2,Activo,1,90,2,Medium,0,No Employee info,3,1441
2,MX,Active,CONSUL,6,Sr. Manager / SME,11/22/2000,1/29/2021,Still Active,14/07/1976,44,2,M,0,189.9,54.2,15,33,7,31,21,ZZ3,100,1,60,42.5,6,IT,1,0,242,6,23.737,6,25.27699372,40,5,211.65,0,0,3943.81,0,80.75,0,0,0,4.25,0,0,100,20,100,100,0,0,0,0,Activo,3,97.33,2,Medium,0,No Employee info,2,1441
2,MX,Active,SYINCO,6,Manager / Master,08/10/1994,1/29/2021,Still Active,15/06/1963,57,2,M,0,180.3,51.5,14,33,7,39,17,T25,100,1,55,42.5,20,SAP,1,0,317,6,133.0549,45,33.82062592,50,8,289,35.8,69.7,3611.75,0,82.45,0,0,0,21,1.5,75.45,100,20,100,100,28,18.35995877,117.4011853,7.950528214,Activo,9,83.78,2,Medium,1,RISING TALENT,8,1441
2,MX,Active,ARCHTC,6,Manager / Master,9/24/2001,1/29/2021,Still Active,22/11/1970,49,2,M,0,198.7,56.7,14,33,7,31,21,ZZ3,100,3,60,42.5,6,IT,1,0,232,6,51.56044,15,29.09207136,50,9,245.6,0,444.75,3346.89,0,90.85,0,1.9,0,126.2,34.95,71,43.3,20,43.3,100,1,1,27,2,Activo,2,84,0,High,0,No Employee info,0,1441
2,MX,Active,ARCHTC,6,Manager / Master,10/01/2001,1/29/2021,Still Active,31/10/1972,48,2,M,0,198.7,56.7,15,33,7,31,21,ZZ3,100,3,60,42.5,6,IT,1,0,231,6,105.2967,36,34.18910564,50,8,271.1,11,18.5,3710.375,0,112.35,0,0,4.8,110.4,0,19.275,100,20,100,100,1,3,40,2,Activo,18,93.39,0,High,0,No Employee info,0,1441
2,MX,Active,ARCHTC,6,Manager / Master,8/17/2000,1/29/2021,Still Active,06/05/1977,43,2,M,0,198.7,56.7,14,33,7,31,21,ZZ3,100,3,60,42.5,6,IT,1,0,245,6,174.3297,23,13.1933916,50,10,252.6,39.65,539.15,2961.088,76.6,79.75,0,0.2,0,547.55,150.75,16.05,41.2,20,41.2,100,2,4,62,4,Activo,8,92.5,0,High,2,TOP TALENT,0,1441
2,MX,Active,SYINCO,6,Manager / Master,8/27/2012,1/29/2021,Still Active,03/07/1979,41,2,M,0,189.9,54.2,14,33,7,39,2,DH3,100,1,2,42.5,20,SAP,1,0,101,6,164.05495,14,8.533726047,50,8,161.2,3.85,219.9,1307.3,48.56,0,0,0,0,104.675,24.55,58.3,30,20,30,44,1,2,11,2,Activo,1,100,2,Medium,1,RISING TALENT,8,1441
2,MX,Active,MNGSER,5,Sr. Consultant,10/21/2020,1/29/2021,Still Active,16/11/1990,30,1,S,0,108.69,31.06,14,33,7,0,7,S04,100,1,56,42.5,20,SAP,1,0,3,5,0.445055,0,0,22,5,16.15,0.4,5.725,212.725,158.95,0,0,0,0,0,0,0,3.758906157,18.65600717,,,0,0,0,0,,0,91.78924766,3,No Employee info,0,No Employee info,4,1441
2,MX,Active,SYINCO,5,Sr. Consultant,01/02/2012,1/29/2021,Still Active,09/09/1975,45,1,S,0,100.2,28.6,15,33,7,33,9,S51,100,1,53,42.5,20,SAP,1,0,108,5,31.7808,2,6.293107788,28,3,101.15,0,0,1817.3,0,0,0,0,0,0,1.7,0,0,20,0,0,4,5,42,8,Activo,2,91,0,High,0,No Employee info,8,1441
2,MX,Active,SYINCO,6,Manager / Master,07/01/2002,1/29/2021,Still Active,05/06/1965,55,2,M,0,180.3,51.5,15,33,7,39,17,T25,100,1,55,42.5,20,SAP,1,0,222,6,33.16484,7,21.1066901,50,7,179.35,28.95,0.85,3801.75,0,92.9,0,0,2.05,5.5,0,0,100,20,100,100,7,16,123,14,Activo,1,91,2,Medium,0,No Employee info,8,1441
2,MX,Active,SYINCO,5,Sr. Consultant,11/01/2002,1/29/2021,Still Active,08/01/1975,45,2,M,0,130.6,37.3,15,33,7,39,17,T25,100,1,55,42.5,20,SAP,1,0,218,5,121.05495,23,18.99963612,50,8,194.65,2.65,17.9,3672.925,0,108.7,0,0,0,54.45,2.7,20.95,0,20,0,0,9,9,59,18,Activo,2,95.5,2,Medium,1,RISING TALENT,8,1441
2,MX,Active,DEVELO,4,Project / Technical Lead,2/28/2018,1/29/2021,Still Active,17/11/1966,54,2,M,0,116.4,33.2,15,33,7,36,11,S64,100,1,54,42.5,13,Other,1,0,35,4,22.411,11,49.08303958,50,8,90.1,4.35,100.65,2069,0,71.35,0,48,0,3.35,0,24.85,0,20,0,0,2,6,95,4,Activo,9,95.33,2,Medium,0,No Employee info,3,1441
2,MX,Active,SYINCO,6,Sr. Manager / SME,12/10/2003,1/29/2021,Still Active,17/04/1966,54,2,M,1,214.9,61.4,14,33,7,39,17,T25,100,1,55,42.5,20,SAP,1,0,205,6,22.5534,13,57.64097653,50,8,269.45,18.7,153.5,3184.3,0,73.1,0,0,0,13.75,19.85,1.3,100,20,100,100,8,14,112,16,Activo,11,95,2,Medium,0,No Employee info,8,1441
2,MX,Active,SYINCO,6,Manager / Master,12/10/2003,1/29/2021,Still Active,21/07/1976,44,2,M,0,180.3,51.5,15,33,7,39,17,T25,100,1,55,42.5,20,SAP,1,0,205,6,22.5534,6,26.60352763,48,9,233.35,28.05,120.3,3313,0,68.85,0,0,0,14.45,14,0.85,100,20,100,100,8,12,107,16,Activo,0,91.78924766,0,High,0,No Employee info,8,1441
2,MX,Active,SYINCO,6,Manager / Master,12/10/2003,1/29/2021,Still Active,20/01/1966,54,2,M,0,180.3,51.5,15,33,7,39,17,T25,100,1,55,42.5,20,SAP,1,0,205,6,112.767,11,9.754626797,50,8,202.3,37.55,47.45,3427.43,0,50.15,0,0,0,5.9,19.4,9.35,100,20,100,100,6,33,237,12,Activo,0,91.78924766,2,Medium,1,RISING TALENT,8,1441
2,MX,Active,DEVELO,5,Sr. Consultant,12/10/2003,1/29/2021,Still Active,08/12/1973,46,2,M,0,96.9,27.7,15,33,7,40,18,T45,100,1,55,42.5,20,SAP,1,0,205,5,67.6603,18,26.60348831,50,8,197.95,51.85,142.815,3285.375,7.7,57.65,0,0,0,2.35,0,5.45,0,20,0,0,3,17,274,6,Activo,2,94.5,2,Medium,1,RISING TALENT,3,1441
2,MX,Active,CONSUL,5,Sr. Consultant,5/14/2018,1/29/2021,Still Active,11/09/1975,45,2,M,0,91,26,15,33,7,0,6,Other,100,1,1,42.5,20,SAP,1,0,32,5,55.4121,11,19.85125992,50,7,158.1,148.875,79.8,2602.845,0,53.55,0,0,0,39.4,0,53.95,0,20,0,0,6,20,118,12,Activo,6,92.5,2,Medium,1,RISING TALENT,2,1441
2,MX,Active,MNGSER,3,Experienced Consultant,07/01/2017,1/29/2021,Still Active,10/01/1973,47,2,M,0,58,16.5,14,33,7,0,7,S04,100,1,56,42.5,13,Other,1,0,42,3,33.16484,7,21.1066901,36,8,65.45,4.9,14.49,1344.04,475.35,22.95,0,1542.9,0,178.97,0,0,0,20,0,0,11,50,391,22,Activo,0,91.78924766,2,Medium,0,No Employee info,4,1441
2,MX,Active,BUSMGT,6,Associate Director,9/20/2004,1/29/2021,Still Active,12/01/1976,44,2,M,1,265,75.7,14,33,9,0,6,Other,0,3,2,42.5,23,VERTICAL MANAGER,1,0,196,6,99.82418,23,23.04050982,49,9,296.2,1124.75,58.125,1593.075,0,60.175,0,0,0,77.6,53.75,65.3,65.8,20,65.8,78.8,1,1,28,2,Activo,6,97.17,2,Medium,1,RISING TALENT,1,1441
2,MX,Active,DEVELO,5,Sr. Consultant,10/01/2004,1/29/2021,Still Active,07/06/1969,51,2,M,0,84.9,24.2,15,33,7,36,11,S64,100,1,54,42.5,13,Other,1,0,195,5,123.0989,8,6.498839551,50,10,215.4,38.35,18.65,2908.925,243.1,69.8,0,0,44.9,17.55,2.3,20.725,0,20,0,0,43,18.35995877,117.4011853,7.950528214,Activo,5,94,2,Medium,0,No Employee info,3,1441
2,MX,Active,MNGSER,5,Sr. Consultant,10/11/2004,1/29/2021,Still Active,22/05/1972,48,1,S,1,80.3,22.9,14,33,7,35,7,S04,100,1,56,42.5,20,SAP,1,0,195,5,148.87912,24,16.12046068,49,7,206.025,0,16.35,3140.445,175.85,48.45,0,0,0,46.3,0,46.05,0,20,0,0,7,9,70,14,Activo,0,91.78924766,2,Medium,0,No Employee info,4,1441
2,MX,Active,SYINCO,6,Associate Director,11/01/2004,1/29/2021,Still Active,11/10/1970,50,1,S,0,230.4,65.8,15,33,7,39,17,T25,100,1,55,42.5,20,SAP,1,0,194,6,49.05495,11,22.42383286,37,6,227.8,1.7,4.25,3280.3,0,43.35,0,0,0,24.55,0,0,100,20,110,100,7,24,200,14,Activo,4,92.25,0,High,2,TOP TALENT,8,1441
2,MX,Active,SYINCO,3,Experienced Consultant,05/01/2006,1/29/2021,Still Active,30/06/1971,49,2,M,0,75.7,21.6,15,33,7,39,17,T25,100,1,55,42.5,20,SAP,1,0,176,3,78.0879,21,26.89277084,49,7,156.4,44.2,12.375,3139.375,0,30.6,0,0,0,25.5,0,190.54,0,20,0,0,2,3,28,4,Activo,1,100,2,Medium,0,No Employee info,8,1441
2,MX,Active,CONSUL,3,Experienced Consultant,05/01/2009,1/29/2021,Still Active,25/05/1963,57,1,S,1,64.8,18.5,15,33,7,0,6,Other,100,1,1,42.5,13,Other,1,0,140,3,243.956,23,9.427929627,50,8,234.6,21.2,10.75,3075.45,97.35,44.2,0,0,0,3,0,120.05,0,20,0,0,8,8,138,16,Activo,7,94,2,Medium,0,No Employee info,2,1441
2,MX,Active,ARCHTC,6,Manager / Master,11/15/2004,1/29/2021,Still Active,17/08/1971,49,2,M,0,198.7,56.7,14,33,7,31,21,ZZ3,100,1,60,42.5,6,IT,1,0,194,6,48.131868,12,24.93150692,50,8,197.2,68.35,131.525,2974.15,0,52.1,0,0,0,193.5,29,25.6,43.3,20,43.3,100,1,4,31,2,Activo,2,100,2,Medium,1,RISING TALENT,0,1441
2,MX,Active,MNGSER,5,Sr. Consultant,12/01/2004,1/29/2021,Still Active,06/01/1976,44,2,M,1,81.2,23.2,14,33,7,35,7,S04,100,3,56,21.25,20,SAP,1,0,193,5,162.016,24,14.81335177,50,9,151.575,34.545,23.275,1528.195,384.385,111.75,0,0,0,47.55,4.825,23.15,0,20,0,0,3,5,39,6,Activo,4,98.25,0,High,0,No Employee info,4,1441
2,MX,Active,BUSMGT,6,Sr. Manager / SME,01/03/2005,1/29/2021,Still Active,30/12/1973,46,2,M,0,226.9,64.8,14,33,7,33,9,S51,0,1,53,42.5,9,LINES OF SERVICES MANAGER,1,0,192,6,128.926,29,22.49352342,50,10,260.1,561.675,118.95,2360.925,2.85,38.25,0,1.25,0,157.55,73.1,39.85,91.6,20,91.6,100,12,36,248,24,Activo,6,96.5,0,High,0,No Employee info,1,1441
